"","supplier","SICCode.SicText_1"
"20498","NORWOOD HOUSE NURSING HOME LTD","87100 - Residential nursing care facilities"
"20499","NOTTINGHAM REHAB LTD","46900 - Non-specialised wholesale trade"
"20500","NOTTINGHAM REHAB SUPPLIES","46900 - Non-specialised wholesale trade"
"20964","HOSPITAL NHS TRUST NOTTINGHAM REHAB LTD","46900 - Non-specialised wholesale trade"
"21086","SALFORD CVS","88990 - Other social work activities without accommodation n.e.c."
"21113","CHADDERTON TOTAL-CARE UNIT LTD","82990 - Other business support service activities n.e.c."
"21200","MERIDIAN HEALTHCARE LTD","87300 - Residential care activities for the elderly and disabled"
"21254","AUTISM WEST MIDLANDS","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"21257","NESTOR PRIMECARE SERVICES LTD","86210 - General medical practice activities"
"21335","AGEAA UKAA CAMDEN","88100 - Social work activities without accommodation for the elderly and disabled"
"21336","AGE UK CAMDEN","88100 - Social work activities without accommodation for the elderly and disabled"
"21339","RISEDALE ESTATES LTD","87100 - Residential nursing care facilities"
"21401","ABBEY COURT NURSING & RESIDENTIAL HOME","87300 - Residential care activities for the elderly and disabled"
"21414","SPECSAVERS OPTICIANS","99999 - Dormant Company"
"21415","SPECSAVERS HUDDERSFIELD","99999 - Dormant Company"
"21416","PRIVATE MEDICARE LTD","87100 - Residential nursing care facilities"
"21422","BASSETLAW MIND","88990 - Other social work activities without accommodation n.e.c."
"21424","PILGRIMS HOSPICES IN EAST KENT","86900 - Other human health activities"
"21654","VOLUNTARY ACTION STOKE ON TRENT","94990 - Activities of other membership organizations n.e.c."
"21659","AGE CONCERN LIVERPOOL & SEFTON","87900 - Other residential care activities n.e.c."
"21665","AGE CONCERN LIVERPOOL","87900 - Other residential care activities n.e.c."
"21670","MILESTONES TRUST","87300 - Residential care activities for the elderly and disabled"
"21725","STOCK AND LINDSAY LTD","47730 - Dispensing chemist in specialised stores"
"21752","MARTIN HOUSE","86101 - Hospital activities"
"21810","CAPITA PROPERTY & INFRASTRUCTURE LTD","71129 - Other engineering activities"
"21832","HESTIA HOUSING & SUPPORT","86900 - Other human health activities"
"21837","COTDEAN NURSING HOMES LTD","87300 - Residential care activities for the elderly and disabled"
"21838","AUTUMN HOUSE NURSING HOME LTD","96090 - Other service activities n.e.c."
"21839","INTEGRATE (PRESTON & CHORLEY) LTD","86900 - Other human health activities"
"21843","PAUL STRICKLAND SCANNER CENTRE","86101 - Hospital activities"
"21846","ACORNS CHILDRENS HOSPICE TRUST","88910 - Child day-care activities"
"21863","ACORNS CHILDRENS HOSPICE","88910 - Child day-care activities"
"21879","ACORN CHILDRENS HOSPICE TRUST","88910 - Child day-care activities"
"21957","WAKEFIELD HOSPICE","86900 - Other human health activities"
"21975","TORCARE LTD","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"21996","PAC UK LTD","96090 - Other service activities n.e.c."
"21997","ADEN HOUSE LTD","87100 - Residential nursing care facilities"
"21998","SONNET CARE HOMES (ESSEX) LTD","87300 - Residential care activities for the elderly and disabled"
"22035","DATIX LTD","58290 - Other software publishing"
"22055","IRIS BUSINESS SOFTWARE LTD","62020 - Information technology consultancy activities"
"22057","XMA LTD","46510 - Wholesale of computers, computer peripheral equipment and software"
"22080","NORSACA","85200 - Primary education"
"22081","JAMES CALLAGHAN & SONS LTD","42990 - Construction of other civil engineering projects n.e.c."
"22083","COMPASS","86900 - Other human health activities"
"22091","BENRIDGE CARE HOMES LTD","87300 - Residential care activities for the elderly and disabled"
"22094","DOVE CARE HOMES LTD","86900 - Other human health activities"
"22098","ETS COMMUNICATIONS LTD","61900 - Other telecommunications activities"
"22099","MEDILINE SUPPORTED LIVING LTD","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"22101","MENTAL HEALTH CONCERN","86900 - Other human health activities"
"22105","SCP LTD","47599 - Retail of furniture, lighting, and similar (not musical instruments or scores) in specialised store"
"22109","ST TERESAS HOSPICE","86101 - Hospital activities"
"22138","DELL CORPORATION LTD","62020 - Information technology consultancy activities"
"22231","DELL CORPORATION LTD TOTAL DORKING HEALTHCARE LTD","62020 - Information technology consultancy activities"
"22349","TRUST DELL CORPORATION LTD","62020 - Information technology consultancy activities"
"22593","TOTAL COMPUTING SYSTEMS LTD","95110 - Repair of computers and peripheral equipment"
"22594","PSL PRINT MANAGEMENT LTD","17290 - Manufacture of other articles of paper and paperboard n.e.c."
"22596","ASHMERE","42990 - Construction of other civil engineering projects n.e.c."
"22597","BAY HOUSE","98000 - Residents property management"
"22602","DOCMAIL","99999 - Dormant Company"
"22603","KIER CONSTRUCTION","41201 - Construction of commercial buildings"
"22618","QUEENSCOURT HOSPICE","86900 - Other human health activities"
"22746","FIELD HOUSE NURSING HOME","87300 - Residential care activities for the elderly and disabled"
"22760","AIR LIQUIDE (HOMECARE) LTD","21100 - Manufacture of basic pharmaceutical products"
"22762","AGE CONCERN BIRMINGHAM","88100 - Social work activities without accommodation for the elderly and disabled"
"22765","CSA WAVERLEY LTD","62090 - Other information technology service activities"
"22769","SPECTRUM CENTRE FOR INDEPENDENT LIVING","88100 - Social work activities without accommodation for the elderly and disabled"
"22770","SOUTHAMPTON CENTRE FOR INDEPENDENT LIVIN","88100 - Social work activities without accommodation for the elderly and disabled"
"22772","NIGHTINGALE GROUP LTD","86900 - Other human health activities"
"22797","NIGHTINGALE GROUP  LTD","86900 - Other human health activities"
"22879","SOFTWARE BOX LTD","62090 - Other information technology service activities"
"22893","CYGNET LEARNING DISABILITIES LTD","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"22929","CYGNETAA LEARNINGAA DISABILITIESAA LTD","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"22935","CYGNET HEALTHCARE LTD TOTAL CYGNET LEARNING DISABILITIES LTD","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"22957","BOLTON HOSPICE","86900 - Other human health activities"
"22966","ALZHEIMERS SOCIETY","86900 - Other human health activities"
"22978","ALZHEIMERS SOCIETY SEFTON OFFICE","86900 - Other human health activities"
"22985","ALZHEIMER'S SOCIETY","86900 - Other human health activities"
"23393","FOUNDATION TRUST ALZHEIMERS SOCIETY","86900 - Other human health activities"
"23468","EGTON MEDICAL INFORMATION SYSTEMS LTD","62012 - Business and domestic software development"
"23597","EGTONAA MEDICALAA INFORMATIONAA SYSTEMSAA LTD","62012 - Business and domestic software development"
"23600","EGTON MEDICAL","62012 - Business and domestic software development"
"23927","PETERBOROUGH COUNCIL FOR VOLUNTARY SERVICE","94990 - Activities of other membership organizations n.e.c."
"23928","WIRRELDERLY","86102 - Medical nursing home activities"
"23930","AGE UK WILTSHIRE","88100 - Social work activities without accommodation for the elderly and disabled"
"23935","CENTURY HEALTHCARE LTD","86900 - Other human health activities"
"23942","ALLIANCE MEDICAL LTD","86101 - Hospital activities"
"24174","APRIROSE LTD","68209 - Other letting and operating of own or leased real estate"
"24197","CYGNET HEALTHCARE LTD","86101 - Hospital activities"
"24203","CYGNET HEALTH CARE LTD","86101 - Hospital activities"
"24546","HANDSALE LTD","68100 - Buying and selling of own real estate"
"24547","ACCOMPLISH GROUP","86900 - Other human health activities"
"24549","ACCOMPLISH","86900 - Other human health activities"
"24615","COGORA LTD","73110 - Advertising agencies"
"24617","DRUMCONNER HOMES (BOURNEMOUTH) LTD","96090 - Other service activities n.e.c."
"24619","KCOM GROUP PLC","61900 - Other telecommunications activities"
"24624","MARIA MALLABAND LTD","87300 - Residential care activities for the elderly and disabled"
"24627","HULL 2017 (ENTERPRISES) LTD","93290 - Other amusement and recreation activities n.e.c."
"24630","VICTIM SUPPORT","88990 - Other social work activities without accommodation n.e.c."
"24631","NEW CENTURY CARE (BOROUGH GREEN) LTD","87300 - Residential care activities for the elderly and disabled"
"24634","FRESHWATER (UK REGIONS) LTD","70210 - Public relations and communications activities"
"24637","HOSPISCARE","86900 - Other human health activities"
"24638","BMI HEALTHCARE COLLECTIONS","86101 - Hospital activities"
"24640","BMI HEALTHCARE LTD","86101 - Hospital activities"
"25154","BMI HEALTHCARE  COLLECTIONS","86101 - Hospital activities"
"27800","COLLECTIONS BMI HEALTHCARE","86101 - Hospital activities"
"29946","FOUNDATION TRUST BMI HEALTHCARE COLLECTIONS","86101 - Hospital activities"
"31461","ST JOHNS NURSING HOME LTD","87100 - Residential nursing care facilities"
"31469","TURNER & TOWNSEND PROJECT MANAGEMENT PLC","82990 - Other business support service activities n.e.c."
"31470","TURNING POINT (SERVICES) LTD","86210 - General medical practice activities"
"31542","TURNING POINT SERVICES LTD","86210 - General medical practice activities"
"31771","SAVILLE GROUP LTD (THE)","26309 - Manufacture of communication equipment other than telegraph, and telephone apparatus and equipment"
"31772","STOCKS HALL CARE HOMES LTD","87100 - Residential nursing care facilities"
"31836","SOFTCAT LTD","62090 - Other information technology service activities"
"31838","SOFTCAT PLC","62090 - Other information technology service activities"
"31918","BRADFORD CANCER SUPPORT","86900 - Other human health activities"
"31929","CANCER SUPPORT BRADFORD & AIREDALE","86900 - Other human health activities"
"31941","FRESENIUS KABI LTD","21200 - Manufacture of pharmaceutical preparations"
"32002","TRUSTMARQUE SOLUTIONS LTD","62020 - Information technology consultancy activities"
"32065","TRUSTMARQUEAA SOLUTIONSAA LTD","62020 - Information technology consultancy activities"
"32104","HEART OF KENT HOSPICE","86900 - Other human health activities"
"32119","ACCOMPLISH GROUP SUPPORT LTD","86900 - Other human health activities"
"32126","VISION EXPRESS (UK) LTD","82990 - Other business support service activities n.e.c."
"32127","20-20 TECHNOLOGIES LTD","62012 - Business and domestic software development"
"32128","WEATHERSTONES HOUSE","87100 - Residential nursing care facilities"
"32129","LEEDS MIND","86900 - Other human health activities"
"32233","M HUSSAIN CHEMISTS","47730 - Dispensing chemist in specialised stores"
"32234","DOCTORS LABORATORY LTD (THE)","86900 - Other human health activities"
"32235","BIRMINGHAM CITIZENS ADVICE BUREAUX SERVICE","63990 - Other information service activities n.e.c."
"32241","DEEPDENE CARE","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"32242","SPORTS & LEISURE MANAGEMENT LTD","93110 - Operation of sports facilities"
"32244","RISBY HALL","87100 - Residential nursing care facilities"
"32245","SUSSEX BEACON","86900 - Other human health activities"
"32250","MENTAL HEALTH CARE UK LTD","96090 - Other service activities n.e.c."
"32262","VANGUARD CONSULTING LTD","70229 - Management consultancy activities other than financial management"
"32263","ALFRISTON COURT","98000 - Residents property management"
"32264","ST CUTHBERTS HOSPICE","86102 - Medical nursing home activities"
"32278","FAIRFIELD HEALTHCARE LTD","86900 - Other human health activities"
"32279","ROCHDALE & DISTRICT MIND","88100 - Social work activities without accommodation for the elderly and disabled"
"32287","VICTORIA NURSING GROUP LTD","87300 - Residential care activities for the elderly and disabled"
"32304","BRADWELL HALL","87100 - Residential nursing care facilities"
"32312","BRADWELL HALL NURSING HOME","87100 - Residential nursing care facilities"
"32364","PRIMROSE HOSPICE LTD","88990 - Other social work activities without accommodation n.e.c."
"32366","ARCADIS CONSULTING (UK) LTD","71122 - Engineering related scientific and technical consulting activities"
"32367","TARPORLEY WAR MEMORIAL HOSPITAL TRUST","86101 - Hospital activities"
"32370","COTSWOLD CARE HOSPICE","86900 - Other human health activities"
"32372","LONGFIELD HOSPICE CARE","86900 - Other human health activities"
"32386","ST QUENTIN NURSING HOME","87300 - Residential care activities for the elderly and disabled"
"32387","VOYAGE 1 LTD TA VOYAGE CARE","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"32424","VOYAGE 1 LTD","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"32433","COLTEN CARE LTD","87300 - Residential care activities for the elderly and disabled"
"32554","GIBSONS LODGE LTD","87100 - Residential nursing care facilities"
"32555","EQUALITY TOGETHER","88100 - Social work activities without accommodation for the elderly and disabled"
"32558","BRADFORD DISABILITY SERVICES LTD","88100 - Social work activities without accommodation for the elderly and disabled"
"32569","LAMBERT SMITH HAMPTON","70100 - Activities of head offices"
"32572","EALING CVS","88990 - Other social work activities without accommodation n.e.c."
"32573","OSEL ENTERPRISES LTD","96090 - Other service activities n.e.c."
"32586","COMMUNITY INTEGRATED CARE","86900 - Other human health activities"
"32751","CITIZENS ADVICE BUREAUX (SALFORD)","63990 - Other information service activities n.e.c."
"32756","EDF ENERGY CUSTOMERS PLC","35130 - Distribution of electricity"
"32757","EDF ENERGY CUSTOMERS LTD","35130 - Distribution of electricity"
"32762","LEEDS CITIZENS ADVICE BUREAU","88990 - Other social work activities without accommodation n.e.c."
