"","CompanyNumber","SICCode.SicText_1"
"35617","02599171","87900 - Other residential care activities n.e.c."
"35650","02599511","85100 - Pre-primary education"
"35654","02601495","86900 - Other human health activities"
"35662","02603322","85590 - Other education n.e.c."
"35663","02604836","62020 - Information technology consultancy activities"
"35667","02604892","86900 - Other human health activities"
"35688","02605138","68310 - Real estate agencies"
"35690","02609389","87100 - Residential nursing care facilities"
"35691","02610358","87100 - Residential nursing care facilities"
"35696","02610559","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"35702","02615057","86900 - Other human health activities"
"35705","02615716","62012 - Business and domestic software development"
"35706","02620240","86900 - Other human health activities"
"35718","02620408","82990 - Other business support service activities n.e.c."
"35720","02620761","88990 - Other social work activities without accommodation n.e.c."
"35722","02620879","86900 - Other human health activities"
"35767","02621410","87300 - Residential care activities for the elderly and disabled"
"35769","02622175","96090 - Other service activities n.e.c."
"35774","02622784","86101 - Hospital activities"
"36113","02626319","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"36128","02627468","55900 - Other accommodation"
"36129","02631898","86900 - Other human health activities"
"36163","02643207","87300 - Residential care activities for the elderly and disabled"
"36165","02644862","87300 - Residential care activities for the elderly and disabled"
"36775","02647631","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"36776","02647929","62090 - Other information technology service activities"
"36777","02647932","88100 - Social work activities without accommodation for the elderly and disabled"
"36778","02650110","86900 - Other human health activities"
"36786","02650841","86900 - Other human health activities"
"36800","02651109","87100 - Residential nursing care facilities"
"36802","02652414","88990 - Other social work activities without accommodation n.e.c."
"36809","02653446","62020 - Information technology consultancy activities"
"36816","02655764","88990 - Other social work activities without accommodation n.e.c."
"36844","02657165","62020 - Information technology consultancy activities"
"36845","02657426","27320 - Manufacture of other electronic and electric wires and cables"
"36846","02657917","61900 - Other telecommunications activities"
"36849","02658268","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"36850","02658501","26200 - Manufacture of computers and peripheral equipment"
"36851","02659985","87300 - Residential care activities for the elderly and disabled"
"36853","02660205","87100 - Residential nursing care facilities"
"36888","02665377","87900 - Other residential care activities n.e.c."
"37226","02665837","61900 - Other telecommunications activities"
"37230","02666470","96090 - Other service activities n.e.c."
"37232","02670254","70229 - Management consultancy activities other than financial management"
"37255","02673392","68209 - Other letting and operating of own or leased real estate"
"37256","02673804","73110 - Advertising agencies"
"37257","02673845","86900 - Other human health activities"
"37265","02674597","85520 - Cultural education"
"37266","02674755","88990 - Other social work activities without accommodation n.e.c."
"37273","02676663","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"37274","02677667","31090 - Manufacture of other furniture"
"37275","02677824","86900 - Other human health activities"
"37276","02679915","86101 - Hospital activities"
"37627","02681075","86900 - Other human health activities"
"37629","02683377","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"37645","02683801","78300 - Human resources provision and management of human resources functions"
"37646","02684965","86210 - General medical practice activities"
"37648","02685146","62090 - Other information technology service activities"
"37652","02688585","55100 - Hotels and similar accommodation"
"37784","02689638","26301 - Manufacture of telegraph and telephone apparatus and equipment"
"37788","02692264","82990 - Other business support service activities n.e.c."
"37790","02693603","74909 - Other professional, scientific and technical activities n.e.c."
"37868","02698380","88100 - Social work activities without accommodation for the elderly and disabled"
"37869","02699638","87300 - Residential care activities for the elderly and disabled"
"37872","02699644","88100 - Social work activities without accommodation for the elderly and disabled"
"37873","02699682","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"37885","02699902","87900 - Other residential care activities n.e.c."
"37926","02700516","86102 - Medical nursing home activities"
